date,Pays,Infections,Guerisons,Deces
2020-01-24,FR,2,0,0
2020-01-25,FR,3,0,0
2020-01-26,FR,3,0,0
2020-01-27,FR,3,0,0
2020-01-28,FR,4,0,0
2020-01-28,DE,4,0,0
2020-01-29,FR,5,0,0
2020-01-29,DE,4,0,0
2020-01-30,DE,4,0,0
2020-01-30,FR,5,0,0
2020-01-31,IT,2,0,0
2020-01-31,FR,5,0,0
2020-01-31,DE,5,0,0
2020-02-01,DE,8,0,0
2020-02-01,FR,6,0,0
2020-02-01,IT,2,0,0
2020-02-02,FR,6,0,0
2020-02-02,IT,2,0,0
2020-02-02,DE,10,0,0
2020-02-03,IT,2,0,0
2020-02-03,DE,12,0,0
2020-02-03,FR,6,0,0
2020-02-04,IT,2,0,0
2020-02-04,DE,12,0,0
2020-02-04,FR,6,0,0
2020-02-05,IT,2,0,0
2020-02-05,DE,12,0,0
2020-02-05,FR,6,0,0
2020-02-06,IT,2,0,0
2020-02-06,FR,6,0,0
2020-02-06,DE,12,0,0
2020-02-07,DE,13,0,0
2020-02-07,FR,6,0,0
2020-02-07,IT,3,0,0
2020-02-08,IT,3,0,0
2020-02-08,DE,13,0,0
2020-02-08,FR,11,0,0
2020-02-09,IT,3,0,0
2020-02-09,DE,14,0,0
2020-02-09,FR,11,0,0
2020-02-10,FR,11,0,0
2020-02-10,DE,14,0,0
2020-02-10,IT,3,0,0
2020-02-11,FR,11,0,0
2020-02-11,IT,3,0,0
2020-02-11,DE,16,0,0
2020-02-12,DE,16,0,0
2020-02-12,FR,11,2,0
2020-02-12,IT,3,0,0
2020-02-13,DE,16,1,0
2020-02-13,IT,3,0,0
2020-02-13,FR,11,2,0
2020-02-14,DE,16,1,0
2020-02-14,FR,11,2,0
2020-02-14,IT,3,0,0
2020-02-15,FR,12,4,1
2020-02-15,DE,16,1,0
2020-02-15,IT,3,0,0
2020-02-16,IT,3,0,0
2020-02-16,FR,12,4,1
2020-02-16,DE,16,1,0
2020-02-17,IT,3,0,0
2020-02-17,FR,12,4,1
2020-02-17,DE,16,1,0
2020-02-18,DE,16,12,0
2020-02-18,FR,12,4,1
2020-02-18,IT,3,0,0
2020-02-19,FR,12,4,1
2020-02-19,IT,3,0,0
2020-02-19,DE,16,12,0
2020-02-20,IT,3,0,0
2020-02-20,DE,16,12,0
2020-02-20,FR,12,4,1
2020-02-21,DE,16,14,0
2020-02-21,FR,12,4,1
2020-02-21,IT,20,0,1
2020-02-22,DE,16,14,0
2020-02-22,FR,12,4,1
2020-02-22,IT,62,1,2
2020-02-23,DE,16,14,0
2020-02-23,FR,12,4,1
2020-02-23,IT,155,2,3
2020-02-24,FR,12,4,1
2020-02-24,IT,229,1,7
2020-02-24,DE,16,14,0
2020-02-25,IT,322,1,10
2020-02-25,CH,1,0,0
2020-02-25,DE,17,14,0
2020-02-25,FR,14,11,1
2020-02-26,DE,27,15,0
2020-02-26,CH,1,0,0
2020-02-26,IT,453,3,12
2020-02-26,FR,18,11,2
2020-02-27,CH,8,0,0
2020-02-27,DE,46,16,0
2020-02-27,IT,655,45,17
2020-02-27,FR,38,11,2
2020-02-28,DE,48,16,0
2020-02-28,FR,57,11,2
2020-02-28,IT,888,46,21
2020-02-28,CH,8,0,0
2020-02-29,DE,79,16,0
2020-02-29,IT,1128,46,29
2020-02-29,FR,100,12,2
2020-02-29,CH,18,0,0
2020-03-01,IT,1694,83,34
2020-03-01,FR,130,12,2
2020-03-01,CH,27,0,0
2020-03-01,DE,130,16,0
2020-03-02,DE,159,16,0
2020-03-02,IT,2036,149,52
2020-03-02,CH,42,0,0
2020-03-02,FR,191,12,3
2020-03-03,IT,2502,160,79
2020-03-03,CH,56,2,0
2020-03-03,FR,204,12,4
2020-03-03,DE,196,16,0
2020-03-04,DE,262,16,0
2020-03-04,CH,90,3,0
2020-03-04,FR,285,12,4
2020-03-04,IT,3089,276,107
2020-03-05,FR,377,12,6
2020-03-05,DE,482,16,0
2020-03-05,CH,114,3,1
2020-03-05,IT,3858,414,148
2020-03-06,DE,670,17,0
2020-03-06,FR,653,12,9
2020-03-06,CH,214,3,1
2020-03-06,IT,4636,523,197
2020-03-07,IT,5883,589,233
2020-03-07,CH,268,3,1
2020-03-07,FR,949,12,11
2020-03-07,DE,799,18,0
2020-03-08,IT,7375,622,366
2020-03-08,CH,337,3,2
2020-03-08,FR,1126,12,19
2020-03-08,DE,1040,18,0
2020-03-09,FR,1412,12,25
2020-03-09,DE,1176,18,2
2020-03-09,CH,374,3,2
2020-03-09,IT,9172,724,463
2020-03-10,CH,491,3,3
2020-03-10,FR,1784,12,33
2020-03-10,DE,1457,18,2
2020-03-10,IT,10149,724,631
2020-03-11,DE,1908,25,3
2020-03-11,CH,652,4,4
2020-03-11,IT,12462,1045,827
2020-03-11,FR,2281,12,48
2020-03-12,FR,2876,12,61
2020-03-12,IT,15113,1258,1016
2020-03-12,CH,868,4,7
2020-03-12,DE,2745,25,6
2020-03-13,FR,3664,12,79
2020-03-13,DE,3675,46,7
2020-03-13,IT,17660,1439,1266
2020-03-13,CH,1139,4,11
2020-03-14,IT,21157,1966,1441
2020-03-14,DE,4585,46,9
2020-03-14,FR,4477,12,91
2020-03-14,CH,1359,4,13
2020-03-15,DE,5795,46,11
2020-03-15,CH,2200,4,14
2020-03-15,IT,24747,2335,1809
2020-03-15,FR,5423,12,127
