name,website,twitter,city
 Le Monde,http://www.lemonde.fr,lemondefr,Paris
 Le Figaro,http://www.lefigaro.fr,Le_Figaro,Paris
 Le Parisien,http://www.leparisien.fr,le_Parisien,Saint-Ouen
 L'Equipe,http://www.lequipe.fr,lequipe,Issy-les-Moulineaux
 Libération,http://www.liberation.fr,libe,Paris
 Le Nouvel Observateur,https://www.nouvelobs.com,LObs,Paris
 20 Minutes,http://www.20minutes.fr,20Minutes,Paris
 Les Échos,http://www.lesechos.fr,LesEchos,Paris
 Ouest France,http://www.ouest-france.fr,[],Rennes
 Metro France,http://www.lci.fr,LCI,Paris
 La Tribune,http://www.latribune.fr,latribune,Paris
 La Dépêche du Midi,http://www.ladepeche.fr,ladepechedumidi,Toulouse
 Sud Oest,http://www.sudouest.fr,sudouest,Bordeaux
 La Croix,http://www.la-croix.com,LaCroix,Montrouge
 La Voix du Nord,http://www.lavoixdunord.fr,[],Lille
 Le Dauphiné Libéré,http://www.ledauphine.com,ledauphine,Veurey
 Le Journal du Dimanche,http://www.lejdd.fr,lejdd,Levallois-Perret
 Le Monde Diplomatique,http://www.monde-diplomatique.fr,[],Paris
 Le Télégramme,http://www.letelegramme.fr,LeTelegramme,Brest
 Le Progrès,http://www.leprogres.fr,le_progres,Lyon
 Midi Libre,http://www.midilibre.fr,Midilibre,Saint-Jean-de-Védas
 La Provence,http://www.laprovence.com,laprovence,Marseille
 Nice-Matin,http://www.nicematin.com,nice_matin,Nice
 L'Est Républicain,http://www.estrepublicain.fr,lestrepublicain,Heillecourt
 Dernieres Nouvelles d'Alsace,http://www.dna.fr,dnatweets,Strasbourg
 L'Humanité,http://www.humanite.fr,humanite_fr,Saint-Denis
 Le Républicain Lorrain,http://www.republicain-lorrain.fr,lerepu,Woippy
 La Nouvelle République du Centre Ouest,http://www.lanouvellerepublique.fr,[],Tours
 La Montagne,http://www.lamontagne.fr,[],Clermont-Ferrand
 France Soir,http://www.francesoir.fr,france_soir,Paris
 L'Indépendant,http://www.lindependant.fr,lindependant,Rivesaltes
 Paris Normandie,http://www.paris-normandie.fr,paris_normandie,Deville-Les-Rouen
 Le Bien Public,http://www.bienpublic.com,lebienpublic,Dijon
 Le10Sport,http://le10sport.com,le10sport,Paris
 L'Alsace - Le Pays,http://www.lalsace.fr,lalsace,Mulhouse
 Lyon Capitale,http://www.lyoncapitale.fr,[],Lyon
 Le Journal de Saône-et-Loire,http://www.lejsl.com,lejsl,Chalon-sur-Saone
 Corse Matin,http://www.corsematin.com,Corse_Matin,Ajaccio
 Le Courrier Picard,http://www.courrier-picard.fr,courrierpicard,Amiens
 Charente Libre,http://www.charentelibre.fr,charentelibre,L'Isle-d'Espagnac
 Var Matin,http://www.varmatin.com,var_matin,Nice
 La République du Centre,http://www.larep.fr,larep_fr,Fleury-les-Aubrais
 La Liberté de l'Est,http://www.vosgesmatin.fr,vosgesmatin,Epinal
 L'Union,http://www.lunion.fr,UnionArdennais,Reims
 La République des Pyrennées,http://www.larepubliquedespyrenees.fr,[],Pau
 Presse-Océan,http://www.presseocean.fr,[],Nantes
 Le Populaire du Centre,http://www.lepopulaire.fr,lepopulaire_fr,Limoges
 Le Berry Républicain,http://www.leberry.fr,[],Bourges
 Le Courrier de l'Ouest,http://www.courrierdelouest.fr,[],Angers
 L'Écho Républicain,http://www.lechorepublicain.fr,[],Chartres

